Price,Location,Property Type,Status,Agency,Agent Name,Listing Date,Offer Date
R 1 895 000,Foreshore,0.5 Bedroom Apartment,Sponsored,PE Atlantic Seaboard,Vernon Fuller,2025-06-30,2025-09-13
R 1 295 000,Gardens,1 Bedroom Apartment,Sponsored,PE City Bowl,Dustin Peterson,2025-09-26,
R 4 995 000,Oranjezicht,2 Bedroom House,Normal,PE City Bowl,Carl Coleman,2025-09-29,
R 11 900 000,Constantia,6 Bedroom House,Normal,PE Constantia,Carson Stewart,2025-07-06,
R 2 450 000,Tamboerskloof,1 Bedroom Apartment,Normal,PE City Bowl,Warren Hicks,2025-09-05,
R 2 895 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Christopher Lee,2025-04-19,2025-07-05
R 6 900 000,Constantia,3 Bedroom House,Normal,PE Constantia,Spencer Reed,2025-06-22,
R 24 950 000,Fresnaye,4 Bedroom House,Normal,PE Atlantic Seaboard,Hunter Carter,2025-04-15,
R 44 000 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Harry Flores,2025-05-10,
R 5 500 000,Gardens,4 Bedroom House,Normal,PE City Bowl,Henry Simmons,2025-08-21,
R 6 350 000,Foreshore,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Caleb Mitchell,2025-08-08,
R 2 350 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Seth Bell,2025-04-13,2025-05-31
R 3 650 000,Claremont Upper,2 Bedroom House,Normal,PE Claremont,Edgar Hart,2025-05-22,2025-08-31
R 5 695 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,David Thompson,2025-09-07,
R 3 750 000,Bergvliet,4 Bedroom House,Normal,PE Southern Suburbs,Robert Chen,2025-06-28,
R 6 150 000,Newlands,3 Bedroom Apartment,Normal,PE Newlands,Thomas Brooks,2025-09-11,
R 3 550 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Grant Cooper,2025-07-20,
R 12 950 000,Tamboerskloof,4 Bedroom House,Normal,PE City Bowl,Maurice West,2025-09-30,
R 5 350 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,David Thompson,2025-04-30,
R 1 300 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Grant Cooper,2025-08-10,
R 3 180 000,Sea Point,2 Bedroom House,Normal,PE Atlantic Seaboard,Peter Ross,2025-06-08,2025-08-06
R 16 960 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Malcolm James,2025-04-30,2025-09-11
R 3 900 000,Claremont,4 Bedroom House,Normal,PE Claremont,Eric Johnson,2025-07-16,2025-09-04
R 2 400 000,Diep River,3 Bedroom Townhouse,Normal,PE Southern Suburbs,Victor Webb,2025-07-14,
R 2 695 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Carson Stewart,2025-08-22,
R 1 895 000,Sea Point,Apartment,Normal,PE Atlantic Seaboard,Cameron Nelson,2025-08-21,2025-09-07
R 6 950 000,Camps Bay,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Roy Powell,2025-06-21,
R 2 100 000,Kenilworth,3 Bedroom Townhouse,Normal,PE Southern Suburbs,Colin Ramirez,2025-07-16,
R 4 495 000,Walmer Estate,3 Bedroom House,Normal,PE Woodstock,Leon Griffin,2025-06-14,2025-07-18
R 13 500 000,De Waterkant,2 Bedroom House,Normal,PE Atlantic Seaboard,Tyler Moore,2025-08-31,
R 8 900 000,Newlands,3 Bedroom House,Normal,PE Newlands,Edwin Sanders,2025-08-27,
R 1 299 000,Salt River,1 Bedroom Apartment,Normal,PE Woodstock,Brett Cook,2025-08-26,
R 3 450 000,Tamboerskloof,2 Bedroom Apartment,Normal,PE City Bowl,Jacob Taylor,2025-07-24,
R 3 500 000,Mouille Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Arthur Jenkins,2025-07-17,2025-09-04
R 6 295 000,Claremont,5 Bedroom House,Normal,PE Claremont,Harry Flores,2025-04-29,
R 20 000 000,Sea Point,2 Bedroom House,Normal,PE Atlantic Seaboard,Gregory Diaz,2025-05-29,
R 4 495 000,Claremont Upper,4 Bedroom House,Normal,PE Claremont,Allan Santiago,2025-08-20,
R 1 850 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Melvin Lowe,2025-06-16,2025-07-11
R 6 200 000,Claremont Upper,3 Bedroom House,Normal,PE Claremont,Colin Ramirez,2025-09-24,
R 6 950 000,Camps Bay,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Sean Parker,2025-07-05,
R 29 995 000,Mouille Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leo Russell,2025-09-04,
R 1 895 000,Tamboerskloof,1 Bedroom Apartment,Normal,PE City Bowl,Douglas Butler,2025-06-10,2025-07-08
R 15 950 000,Claremont Upper,4 Bedroom House,Normal,PE Claremont,Floyd Gibson,2025-05-24,
R 2 850 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Walter Foster,2025-05-15,2025-06-23
R 16 500 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Vernon Fuller,2025-07-01,
R 6 950 000,Claremont Upper,3 Bedroom House,Normal,PE Claremont,Marcus Rivera,2025-08-27,
R 1 450 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Nathan Young,2025-08-18,
R 7 200 000,Claremont Upper,3 Bedroom House,Normal,PE Claremont,Marcus King,2025-06-25,
R 1 750 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Samuel Bennett,2025-04-29,
R 7 250 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Allan Santiago,2025-09-21,
R 8 875 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Dustin Peterson,2025-08-11,
R 1 850 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Allan Santiago,2025-08-22,
R 1 990 000,Rosebank,2 Bedroom Townhouse,Normal,PE Southern Suburbs,Floyd Gibson,2025-09-05,
R 1 950 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Vincent Evans,2025-09-05,
R 2 300 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ethan Hill,2025-08-15,
R 1 850 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Jacob Taylor,2025-04-26,2025-05-23
R 1 690 000,Vredehoek,1 Bedroom Apartment,Normal,PE City Bowl,Trevor Morris,2025-08-07,2025-09-17
R 1 650 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Kenneth Brooks,2025-09-20,
R 2 300 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Samuel Bennett,2025-04-15,
R 385 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Carl Coleman,2025-05-30,
R 5 795 000,Rondebosch,3 Bedroom House,Sponsored,PE Rondebosch,Matthew Davis,2025-05-01,
R 2 850 000,Tamboerskloof,1 Bedroom Apartment,Private,PE City Bowl,Martin Hayes,2025-08-06,
R 1 850 000,Mowbray,2 Bedroom House,Normal,PE Southern Suburbs,James Mitchell,2025-04-19,
R 1 375 000,Observatory,Apartment,Normal,PE Woodstock,Claude Chapman,2025-04-29,2025-07-05
R 2 395 000,Rondebosch,2 Bedroom Apartment,Normal,PE Rondebosch,Christopher Lee,2025-07-07,
R 3 995 000,Gardens,3 Bedroom Apartment,Normal,PE City Bowl,Martin Hayes,2025-05-20,
R 6 800 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Malcolm James,2025-04-29,2025-07-01
R 3 995 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Joshua Garcia,2025-09-27,
R 2 000 000,Rosebank,House,Normal,PE Southern Suburbs,Clifford Flynn,2025-10-01,
R 3 895 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Henry Simmons,2025-09-14,
R 3 900 000,Woodstock,3 Bedroom House,Normal,PE Woodstock,Christopher Lee,2025-06-19,
R 2 250 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Hunter Carter,2025-05-26,
R 825 000,Mowbray,Apartment,Normal,PE Southern Suburbs,Hunter Carter,2025-08-10,2025-09-29
R 4 650 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,Jordan Adams,2025-08-14,2025-09-16
R 75 000 000,Bantry Bay,6 Bedroom House,Normal,PE Atlantic Seaboard,Julius Delgado,2025-07-27,
R 16 950 000,Camps Bay,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,William Foster,2025-09-27,
R 11 375 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Maurice West,2025-08-08,
R 19 995 000,Constantia,5 Bedroom House,Normal,PE Constantia,Craig Hunt,2025-05-04,
R 1 999 000,Newlands,1 Bedroom Apartment,Normal,PE Newlands,Oscar Newman,2025-05-11,
R 3 400 000,Fresnaye,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Vincent Evans,2025-07-15,
R 7 950 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Connor Lopez,2025-04-30,
R 1 999 999,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Daniel Martinez,2025-09-19,
R 6 195 000,Rondebosch,3 Bedroom House,Sponsored,PE Rondebosch,Albert Perry,2025-08-04,2025-09-23
R 1 550 000,Claremont,1 Bedroom Apartment,Normal,PE Claremont,Arthur Jenkins,2025-05-30,
R 2 690 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Ryan Peterson,2025-05-31,2025-07-29
R 1 600 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Cameron Nelson,2025-07-01,
R 6 250 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,Jordan Adams,2025-07-19,
R 5 800 000,Foreshore,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Brett Cook,2025-05-30,
R 5 400 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Leroy Wade,2025-04-28,
R 1 195 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Kyle Hall,2025-05-03,
R 8 750 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-06-10,2025-09-30
R 8 250 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Martin Hayes,2025-09-16,
R 7 200 000,Oranjezicht,3 Bedroom Apartment,Normal,PE City Bowl,Evan Turner,2025-08-16,
R 3 050 000,Tamboerskloof,2 Bedroom Apartment,Normal,PE City Bowl,Ernest Porter,2025-05-01,2025-07-16
R 7 550 000,Sea Point,3 Bedroom House,Normal,PE Atlantic Seaboard,Carson Stewart,2025-06-20,
R 1 850 000,Salt River,3 Bedroom House,Private,PE Woodstock,Edgar Hart,2025-08-09,
R 16 950 000,Tokai,3 Bedroom House,Normal,PE Southern Suburbs,Howard Griffin,2025-08-15,
R 2 150 000,Observatory,2 Bedroom House,Normal,PE Woodstock,Frederick Price,2025-09-07,
R 2 995 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Hunter Carter,2025-07-04,
R 25 000 000,Bantry Bay,3 Bedroom House,Normal,PE Atlantic Seaboard,Kenneth Brooks,2025-08-30,
R 2 150 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ernest Porter,2025-04-14,2025-05-28
R 85 000 000,Camps Bay,4 Bedroom House,Normal,PE Atlantic Seaboard,Bernard Mason,2025-09-16,
R 2 450 000,Salt River,2 Bedroom Apartment,Normal,PE Woodstock,Spencer Reed,2025-04-28,2025-05-30
R 1 250 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Harry Flores,2025-07-20,2025-10-03
R 6 995 000,Mouille Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Michael Anderson,2025-08-07,
R 3 950 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,James Mitchell,2025-06-17,
R 1 850 000,Green Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,William Foster,2025-07-19,
R 1 250 000,Oranjezicht,0.5 Bedroom Apartment,Sponsored,PE City Bowl,Victor Webb,2025-05-01,
R 4 750 000,Sea Point,2 Bedroom Apartment,Private,PE Atlantic Seaboard,Leroy Wade,2025-05-09,2025-07-29
R 10 980 000,Vredehoek,4 Bedroom House,Normal,PE City Bowl,Tyler Moore,2025-04-30,
R 11 495 000,De Waterkant,3 Bedroom House,Normal,PE Atlantic Seaboard,Craig Hunt,2025-05-13,
R 3 100 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Luke Wright,2025-07-23,
R 6 100 000,Constantia,3 Bedroom House,Normal,PE Constantia,Matthew Davis,2025-07-15,
R 31 950 000,Constantia,4 Bedroom House,Normal,PE Constantia,Philip Washington,2025-09-26,
R 2 650 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Jacob Taylor,2025-06-02,
R 1 295 000,Salt River,Apartment,Normal,PE Woodstock,Victor Webb,2025-04-20,2025-06-04
R 2 650 000,Observatory,2 Bedroom House,Normal,PE Woodstock,Blake Edwards,2025-04-25,
R 3 495 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Allan Santiago,2025-09-22,
R 1 850 000,Woodstock,2 Bedroom House,Normal,PE Woodstock,Russell Hughes,2025-04-20,2025-06-20
R 10 000 000,Cape Town City Centre,2 Bedroom Apartment,Sponsored,PE City Bowl,Preston Murphy,2025-04-27,
R 1 340 000,Rosebank,2 Bedroom Apartment,Sponsored,PE Southern Suburbs,Malcolm James,2025-06-05,2025-08-28
R 2 750 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Curtis Stevens,2025-09-11,
R 2 695 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Craig Hunt,2025-09-21,
R 1 995 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Randall Beck,2025-05-13,2025-06-01
R 3 978 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Jared Bailey,2025-05-27,2025-07-18
R 3 995 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Warren Hicks,2025-08-20,
R 1 596 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Curtis Stevens,2025-07-08,2025-08-05
R 79 000 000,Constantia,10 Bedroom House,Normal,PE Constantia,David Thompson,2025-07-01,
R 1 695 000,Claremont,2 Bedroom Apartment,Normal,PE Claremont,Harold Fisher,2025-06-27,
R 3 400 000,Mouille Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Bernard Mason,2025-05-22,
R 3 100 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Kyle Hall,2025-04-29,2025-06-20
R 2 495 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Craig Hunt,2025-04-26,2025-08-24
R 6 295 000,Cape Town City Centre,2 Bedroom Apartment,Private,PE City Bowl,Floyd Gibson,2025-04-16,
R 4 500 000,Cape Town City Centre,2 Bedroom Townhouse,Normal,PE City Bowl,Jacob Taylor,2025-09-27,
R 95 000 000,Fresnaye,5 Bedroom House,Normal,PE Atlantic Seaboard,Owen Collins,2025-06-28,
R 35 000 000,Oranjezicht,7 Bedroom House,Normal,PE City Bowl,Ethan Hill,2025-08-22,
R 1 800 000,Walmer Estate,2 Bedroom House,Normal,PE Woodstock,Caleb Mitchell,2025-09-25,
R 4 895 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Brandon Miller,2025-07-06,
R 1 165 000,Mowbray,2 Bedroom Apartment,Normal,PE Southern Suburbs,Austin Baker,2025-07-25,2025-09-20
R 1 695 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Carl Coleman,2025-06-08,
R 14 000 000,Newlands,4 Bedroom House,Normal,PE Newlands,Marcus Torres,2025-08-08,
R 1 995 000,Sea Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Clifford Flynn,2025-04-15,
R 9 950 000,Rondebosch,5 Bedroom House,Normal,PE Rondebosch,Howard Griffin,2025-05-25,
R 5 200 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Connor Lopez,2025-08-13,
R 1 950 000,Bergvliet,2 Bedroom Apartment,Normal,PE Southern Suburbs,Gerald Hayes,2025-09-03,
R 8 750 000,Camps Bay,3 Bedroom Townhouse,Private,PE Atlantic Seaboard,Blake Edwards,2025-07-02,
R 13 200 000,Constantia,4 Bedroom House,Normal,PE Constantia,Trevor Morris,2025-05-28,
R 2 200 000,Rondebosch,2 Bedroom Apartment,Normal,PE Rondebosch,Colin Ramirez,2025-06-05,
R 450 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Garrett Howard,2025-08-02,2025-10-06
R 4 600 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Theodore Duncan,2025-07-18,
R 1 800 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Thomas Brooks,2025-08-29,2025-09-25
R 2 695 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Connor Lopez,2025-09-29,
R 1 731 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Connor Lopez,2025-09-06,
R 2 395 000,Sea Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Claude Chapman,2025-08-13,
R 550 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Carson Stewart,2025-06-07,
R 1 950 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Lawrence Alexander,2025-07-15,2025-08-14
R 1 100 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Isaac Scott,2025-05-06,2025-06-16
R 2 780 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-04-25,
R 4 650 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Eugene Long,2025-06-02,2025-07-20
R 4 695 000,Bergvliet,4 Bedroom House,Sponsored,PE Southern Suburbs,Oscar Newman,2025-06-25,
R 2 600 000,Sea Point,1 Bedroom Apartment,Private,PE Atlantic Seaboard,Leroy Wade,2025-08-18,
R 1 995 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Francis Barnes,2025-07-15,2025-09-25
R 5 500 000,Constantia,3 Bedroom House,Normal,PE Constantia,Samuel Bennett,2025-08-08,
R 120 000 000,Fresnaye,6 Bedroom House,Normal,PE Atlantic Seaboard,Craig Hunt,2025-04-12,2025-09-06
R 40 000 000,Constantia,9 Bedroom House,Normal,PE Constantia,Colin Ramirez,2025-09-19,
R 1 265 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Stanley Wells,2025-08-05,
R 3 485 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,James Mitchell,2025-05-21,2025-07-02
